#FMR data from 2021-02-19 10:59:56.452624, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (4.22839e+01-3.85002e+00j)	 (5.00544e+01-4.07209e-02j)	 (5.47205e+01-1.11615e-01j)	 (5.00544e+01-4.07209e-02j)	 (-6.15105e+00-9.20836e-01j)	 (3.14948e-01+2.17326e-01j)	 (-1.00112e+00+5.79693e-04j)	 (-2.80704e-02+1.44761e-02j)	 (5.47240e+01-1.14312e-01j)
 (4.31000e+07+0.00000e+00j)	 (4.00137e+01+1.61200e+00j)	 (5.00150e+01-4.11181e-02j)	 (5.48047e+01-1.29728e+00j)	 (5.00150e+01-4.11181e-02j)	 (-6.49016e+00+1.49284e+00j)	 (3.44309e-01+4.08856e-02j)	 (-9.99566e-01+4.40874e-04j)	 (1.08519e-02+1.10266e-02j)	 (5.48027e+01-1.29839e+00j)
 (4.62000e+07+0.00000e+00j)	 (4.29542e+01+6.86896e+00j)	 (4.99764e+01-2.01684e-02j)	 (5.46954e+01-2.76128e+00j)	 (4.99764e+01-2.01684e-02j)	 (-5.77466e+00+4.08018e+00j)	 (2.90494e-01-1.15021e-01j)	 (-9.99724e-01-8.88899e-04j)	 (6.88110e-03-2.22286e-02j)	 (5.46960e+01-2.75740e+00j)
 (4.93000e+07+0.00000e+00j)	 (4.73725e+01+8.36884e+00j)	 (4.99455e+01+1.61068e-02j)	 (5.41605e+01-4.53562e+00j)	 (4.99455e+01+1.61068e-02j)	 (-3.96044e+00+6.29484e+00j)	 (1.78288e-01-2.21022e-01j)	 (-1.00040e+00+7.99342e-05j)	 (-9.89729e-03+1.99756e-03j)	 (5.41619e+01-4.53717e+00j)
 (5.24000e+07+0.00000e+00j)	 (5.04605e+01+7.85717e+00j)	 (4.99302e+01+6.81764e-02j)	 (5.30304e+01-6.52997e+00j)	 (4.99302e+01+6.81764e-02j)	 (-1.50541e+00+7.64175e+00j)	 (3.65299e-02-2.58874e-01j)	 (-1.00017e+00+1.60363e-04j)	 (-4.18698e-03+4.00840e-03j)	 (5.30303e+01-6.53155e+00j)
 (5.55000e+07+0.00000e+00j)	 (5.26192e+01+6.80682e+00j)	 (4.99279e+01+1.34567e-01j)	 (5.05982e+01-8.54493e+00j)	 (4.99279e+01+1.34567e-01j)	 (1.41194e+00+7.96557e+00j)	 (-1.00185e-01-2.32168e-01j)	 (-9.99843e-01-9.31968e-06j)	 (3.92178e-03-2.33028e-04j)	 (5.05978e+01-8.54351e+00j)
 (5.86000e+07+0.00000e+00j)	 (5.43065e+01+5.55639e+00j)	 (4.99637e+01+2.05119e-01j)	 (4.62191e+01-9.41616e+00j)	 (4.99637e+01+2.05119e-01j)	 (4.42540e+00+7.09552e+00j)	 (-2.04065e-01-1.50188e-01j)	 (-9.99821e-01+6.62976e-04j)	 (4.47297e-03+1.65774e-02j)	 (4.62113e+01-9.41236e+00j)
 (6.17000e+07+0.00000e+00j)	 (5.56604e+01+4.16468e+00j)	 (5.00190e+01+2.67665e-01j)	 (4.09979e+01-7.07533e+00j)	 (5.00190e+01+2.67665e-01j)	 (6.95739e+00+5.11225e+00j)	 (-2.58666e-01-3.67322e-02j)	 (-1.00024e+00+1.92228e-04j)	 (-6.01196e-03+4.80453e-03j)	 (4.09931e+01-7.07561e+00j)
 (6.48000e+07+0.00000e+00j)	 (5.67676e+01+2.69650e+00j)	 (5.00995e+01+3.16755e-01j)	 (3.82606e+01-1.60977e+00j)	 (5.00995e+01+3.16755e-01j)	 (8.60144e+00+2.43149e+00j)	 (-2.59645e-01+8.49042e-02j)	 (-1.00004e+00+2.86963e-04j)	 (-9.77242e-04+7.17379e-03j)	 (3.82598e+01-1.60519e+00j)
 (6.79000e+07+0.00000e+00j)	 (5.77153e+01+1.04383e+00j)	 (5.01913e+01+3.43707e-01j)	 (3.93208e+01+3.76646e+00j)	 (5.01913e+01+3.43707e-01j)	 (9.24289e+00-6.04502e-01j)	 (-2.10491e-01+1.92980e-01j)	 (-1.00009e+00-5.74469e-05j)	 (-2.28864e-03-1.43604e-03j)	 (3.93193e+01+3.76644e+00j)
