#FMR data from 2020-12-03 14:26:22.987518, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86135e+01+5.42470e+00j)	 (4.99420e+01+3.91914e-02j)	 (4.56755e+01+8.03601e-02j)	 (4.99420e+01+3.91914e-02j)	 (6.14864e+00+9.56874e-01j)	 (4.38849e-01+2.38160e-01j)	 (-1.00001e+00+1.79985e-03j)	 (-3.44930e-04+4.49956e-02j)	 (4.56764e+01+8.55520e-02j)
 (4.43500e+07+0.00000e+00j)	 (6.26007e+01-1.60728e+00j)	 (4.99838e+01+3.23514e-02j)	 (4.53133e+01+5.08079e-03j)	 (4.99838e+01+3.23514e-02j)	 (6.84201e+00-2.08019e-01j)	 (4.64609e-01-5.30897e-02j)	 (-9.99529e-01+1.40907e-03j)	 (1.17628e-02+3.52433e-02j)	 (4.53146e+01+9.63199e-03j)
 (4.87000e+07+0.00000e+00j)	 (5.81460e+01-5.91723e+00j)	 (5.00398e+01+2.36633e-02j)	 (4.45579e+01+1.84288e-01j)	 (5.00398e+01+2.36633e-02j)	 (7.18910e+00-1.75699e+00j)	 (3.19692e-01-2.81840e-01j)	 (-9.99750e-01+1.66133e-03j)	 (6.22628e-03+4.15436e-02j)	 (4.45577e+01+1.91115e-01j)
 (5.30500e+07+0.00000e+00j)	 (5.57228e+01-5.72876e+00j)	 (5.01039e+01+2.07266e-02j)	 (4.32476e+01+6.15496e-01j)	 (5.01039e+01+2.07266e-02j)	 (7.24157e+00-3.17287e+00j)	 (8.81441e-02-3.68371e-01j)	 (-9.99900e-01+2.14315e-03j)	 (2.44001e-03+5.35841e-02j)	 (4.32451e+01+6.28116e-01j)
 (5.74000e+07+0.00000e+00j)	 (5.48049e+01-5.35013e+00j)	 (5.01820e+01+2.17453e-02j)	 (4.14255e+01+2.26615e+00j)	 (5.01820e+01+2.17453e-02j)	 (6.89890e+00-4.65533e+00j)	 (-1.32850e-01-3.09378e-01j)	 (-9.99973e-01+1.87549e-03j)	 (6.27045e-04+4.68885e-02j)	 (4.14240e+01+2.28453e+00j)
 (6.17500e+07+0.00000e+00j)	 (5.45210e+01-5.31729e+00j)	 (5.02651e+01+2.21047e-02j)	 (4.05427e+01+6.45326e+00j)	 (5.02651e+01+2.21047e-02j)	 (6.17830e+00-6.14110e+00j)	 (-2.67304e-01-1.46982e-01j)	 (-9.99862e-01+2.31343e-03j)	 (3.37491e-03+5.78436e-02j)	 (4.05583e+01+6.48588e+00j)
 (6.61000e+07+0.00000e+00j)	 (5.48066e+01-5.52703e+00j)	 (5.03512e+01+4.04534e-02j)	 (4.35170e+01+1.07091e+01j)	 (5.03512e+01+4.04534e-02j)	 (5.43489e+00-7.34504e+00j)	 (-2.80465e-01+4.84976e-02j)	 (-9.99852e-01+2.29604e-03j)	 (3.62342e-03+5.74094e-02j)	 (4.35536e+01+1.07262e+01j)
 (7.04500e+07+0.00000e+00j)	 (5.54721e+01-6.12262e+00j)	 (5.04372e+01+8.02015e-02j)	 (4.74780e+01+1.11257e+01j)	 (5.04372e+01+8.02015e-02j)	 (4.68846e+00-8.38969e+00j)	 (-1.85204e-01+2.06179e-01j)	 (-9.99653e-01+2.59920e-03j)	 (8.58778e-03+6.50024e-02j)	 (4.75134e+01+1.11214e+01j)
 (7.48000e+07+0.00000e+00j)	 (5.62322e+01-7.46281e+00j)	 (5.05183e+01+1.33943e-01j)	 (4.95276e+01+1.00680e+01j)	 (5.05183e+01+1.33943e-01j)	 (3.74139e+00-9.39467e+00j)	 (-2.64194e-02+2.79529e-01j)	 (-9.99769e-01+2.67433e-03j)	 (5.69843e-03+6.68735e-02j)	 (4.95531e+01+1.00610e+01j)
 (7.91500e+07+0.00000e+00j)	 (5.63578e+01-1.01558e+01j)	 (5.05970e+01+1.83609e-01j)	 (5.05519e+01+9.32233e+00j)	 (5.05970e+01+1.83609e-01j)	 (2.35992e+00-1.03788e+01j)	 (1.36942e-01+2.52626e-01j)	 (-9.99597e-01+2.71123e-03j)	 (9.98054e-03+6.78079e-02j)	 (5.05720e+01+9.31474e+00j)
