#FMR data from 2020-12-03 14:48:58.362117, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86135e+01+5.42470e+00j)	 (4.99420e+01+3.91914e-02j)	 (4.56748e+01+8.19202e-02j)	 (4.99420e+01+3.91914e-02j)	 (6.14985e+00+9.55532e-01j)	 (4.38818e-01+2.38335e-01j)	 (-9.99508e-01+1.18880e-03j)	 (1.22853e-02+2.97347e-02j)	 (4.56768e+01+8.50976e-02j)
 (4.43500e+07+0.00000e+00j)	 (6.26007e+01-1.60728e+00j)	 (4.99838e+01+3.23514e-02j)	 (4.53150e+01+6.39162e-03j)	 (4.99838e+01+3.23514e-02j)	 (6.84007e+00-2.09290e-01j)	 (4.64748e-01-5.29710e-02j)	 (-9.99637e-01+2.33726e-05j)	 (9.08425e-03+5.84527e-04j)	 (4.53161e+01+6.51428e-03j)
 (4.87000e+07+0.00000e+00j)	 (5.81460e+01-5.91723e+00j)	 (5.00398e+01+2.36633e-02j)	 (4.45602e+01+1.88146e-01j)	 (5.00398e+01+2.36633e-02j)	 (7.18576e+00-1.75934e+00j)	 (3.19822e-01-2.81455e-01j)	 (-9.99893e-01-6.54832e-05j)	 (2.68480e-03-1.63726e-03j)	 (4.45607e+01+1.87963e-01j)
 (5.30500e+07+0.00000e+00j)	 (5.57228e+01-5.72876e+00j)	 (5.01039e+01+2.07266e-02j)	 (4.32490e+01+6.23104e-01j)	 (5.01039e+01+2.07266e-02j)	 (7.23776e+00-3.17627e+00j)	 (8.81729e-02-3.67736e-01j)	 (-9.99936e-01+3.44027e-05j)	 (1.59856e-03+8.60122e-04j)	 (4.32494e+01+6.23395e-01j)
 (5.74000e+07+0.00000e+00j)	 (5.48049e+01-5.35013e+00j)	 (5.01820e+01+2.17453e-02j)	 (4.14278e+01+2.27995e+00j)	 (5.01820e+01+2.17453e-02j)	 (6.89443e+00-4.65923e+00j)	 (-1.32855e-01-3.08541e-01j)	 (-9.99715e-01-1.35897e-04j)	 (7.11506e-03-3.39840e-03j)	 (4.14307e+01+2.27887e+00j)
 (6.17500e+07+0.00000e+00j)	 (5.45210e+01-5.31729e+00j)	 (5.02651e+01+2.21047e-02j)	 (4.05588e+01+6.47299e+00j)	 (5.02651e+01+2.21047e-02j)	 (6.17205e+00-6.14446e+00j)	 (-2.67118e-01-1.45958e-01j)	 (-9.99902e-01+2.30790e-05j)	 (2.44942e-03+5.77031e-04j)	 (4.05603e+01+6.47274e+00j)
 (6.61000e+07+0.00000e+00j)	 (5.48066e+01-5.52703e+00j)	 (5.03512e+01+4.04534e-02j)	 (4.35460e+01+1.07161e+01j)	 (5.03512e+01+4.04534e-02j)	 (5.42766e+00-7.34786e+00j)	 (-2.80141e-01+4.95365e-02j)	 (-9.99801e-01+1.06990e-04j)	 (4.97455e-03+2.67528e-03j)	 (4.35493e+01+1.07140e+01j)
 (7.04500e+07+0.00000e+00j)	 (5.54721e+01-6.12262e+00j)	 (5.04372e+01+8.02015e-02j)	 (4.75001e+01+1.11181e+01j)	 (5.04372e+01+8.02015e-02j)	 (4.68033e+00-8.39105e+00j)	 (-1.84694e-01+2.07077e-01j)	 (-9.99739e-01+2.76622e-04j)	 (6.51590e-03+6.91737e-03j)	 (4.75039e+01+1.11146e+01j)
 (7.48000e+07+0.00000e+00j)	 (5.62322e+01-7.46281e+00j)	 (5.05183e+01+1.33943e-01j)	 (4.95425e+01+1.00617e+01j)	 (5.05183e+01+1.33943e-01j)	 (3.73317e+00-9.39599e+00j)	 (-2.60113e-02+2.80303e-01j)	 (-9.99957e-01+3.81432e-04j)	 (1.07282e-03+9.53620e-03j)	 (4.95461e+01+1.00606e+01j)
 (7.91500e+07+0.00000e+00j)	 (5.63578e+01-1.01558e+01j)	 (5.05970e+01+1.83609e-01j)	 (5.05649e+01+9.31371e+00j)	 (5.05970e+01+1.83609e-01j)	 (2.34948e+00-1.03772e+01j)	 (1.37487e-01+2.53333e-01j)	 (-1.00024e+00+1.17157e-04j)	 (-5.89531e-03+2.92825e-03j)	 (5.05662e+01+9.31532e+00j)
