#FMR data from 2020-12-17 16:52:27.539365, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.85665e+01+5.48995e+00j)	 (4.99406e+01+4.23261e-02j)	 (4.56739e+01+3.92141e-02j)	 (4.99406e+01+4.23261e-02j)	 (6.13602e+00+1.01560e+00j)	 (4.38320e-01+2.36985e-01j)	 (-9.99160e-01+1.08988e-03j)	 (2.09954e-02+2.72699e-02j)	 (4.56769e+01+4.19658e-02j)
 (4.31000e+07+0.00000e+00j)	 (6.26375e+01+1.13806e+00j)	 (4.99744e+01+3.52827e-02j)	 (4.54588e+01-3.29116e-02j)	 (4.99744e+01+3.52827e-02j)	 (6.66391e+00+2.26051e-01j)	 (4.76173e-01+2.77669e-02j)	 (-1.00057e+00-2.82327e-04j)	 (-1.42087e-02-7.05417e-03j)	 (4.54571e+01-3.37684e-02j)
 (4.62000e+07+0.00000e+00j)	 (6.08739e+01-4.40013e+00j)	 (5.00081e+01+3.51395e-02j)	 (4.50447e+01-1.04528e-04j)	 (5.00081e+01+3.51395e-02j)	 (7.04898e+00-7.73663e-01j)	 (4.19010e-01-1.65949e-01j)	 (-9.99477e-01+1.17352e-03j)	 (1.30627e-02+2.93534e-02j)	 (4.50460e+01+4.16686e-03j)
 (4.93000e+07+0.00000e+00j)	 (5.76540e+01-5.93163e+00j)	 (5.00557e+01+2.43426e-02j)	 (4.44151e+01+1.82562e-01j)	 (5.00557e+01+2.43426e-02j)	 (7.22013e+00-1.92235e+00j)	 (2.88575e-01-3.04661e-01j)	 (-9.99973e-01+1.58514e-04j)	 (6.78512e-04+3.96295e-03j)	 (4.44151e+01+1.83247e-01j)
 (5.24000e+07+0.00000e+00j)	 (5.59690e+01-5.76381e+00j)	 (5.00988e+01+2.10213e-02j)	 (4.34793e+01+4.66466e-01j)	 (5.00988e+01+2.10213e-02j)	 (7.26865e+00-2.92471e+00j)	 (1.22728e-01-3.66285e-01j)	 (-1.00006e+00-1.05925e-04j)	 (-1.49771e-03-2.64797e-03j)	 (4.34792e+01+4.65806e-01j)
 (5.55000e+07+0.00000e+00j)	 (5.51250e+01-5.43937e+00j)	 (5.01503e+01+2.59744e-02j)	 (4.22538e+01+1.25203e+00j)	 (5.01503e+01+2.59744e-02j)	 (7.11797e+00-3.95328e+00j)	 (-4.39096e-02-3.52189e-01j)	 (-1.00029e+00+3.15276e-04j)	 (-7.13756e-03+7.87966e-03j)	 (4.22511e+01+1.25401e+00j)
 (5.86000e+07+0.00000e+00j)	 (5.46796e+01-5.29201e+00j)	 (5.02096e+01+2.45510e-02j)	 (4.09464e+01+3.12391e+00j)	 (5.02096e+01+2.45510e-02j)	 (6.73335e+00-5.06346e+00j)	 (-1.81807e-01-2.72863e-01j)	 (-9.99913e-01+3.62495e-04j)	 (2.17636e-03+9.06317e-03j)	 (4.09474e+01+3.12802e+00j)
 (6.17000e+07+0.00000e+00j)	 (5.45226e+01-5.30126e+00j)	 (5.02723e+01+2.24599e-02j)	 (4.05337e+01+6.38770e+00j)	 (5.02723e+01+2.24599e-02j)	 (6.18224e+00-6.11453e+00j)	 (-2.67663e-01-1.49203e-01j)	 (-9.99752e-01+2.07458e-04j)	 (6.20279e-03+5.18775e-03j)	 (4.05385e+01+6.38927e+00j)
 (6.48000e+07+0.00000e+00j)	 (5.46734e+01-5.42287e+00j)	 (5.03333e+01+3.10559e-02j)	 (4.22631e+01+9.79776e+00j)	 (5.03333e+01+3.10559e-02j)	 (5.64573e+00-7.00020e+00j)	 (-2.90220e-01-8.42477e-03j)	 (-1.00006e+00-3.14815e-04j)	 (-1.43345e-03-7.86993e-03j)	 (4.22582e+01+9.79491e+00j)
 (6.79000e+07+0.00000e+00j)	 (5.50526e+01-5.69848e+00j)	 (5.03905e+01+5.36365e-02j)	 (4.53656e+01+1.12764e+01j)	 (5.03905e+01+5.36365e-02j)	 (5.13308e+00-7.77506e+00j)	 (-2.52312e-01+1.22609e-01j)	 (-1.00003e+00-6.09864e-05j)	 (-8.19743e-04-1.52461e-03j)	 (4.53645e+01+1.12767e+01j)
