#FMR data from 2020-12-17 16:21:56.511493, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.85640e+01+5.48411e+00j)	 (4.99440e+01+4.03500e-02j)	 (4.56792e+01+4.25374e-02j)	 (4.99440e+01+4.03500e-02j)	 (6.13473e+00+1.00995e+00j)	 (4.38329e-01+2.37548e-01j)	 (-9.99916e-01-3.82095e-04j)	 (2.09418e-03-9.55318e-03j)	 (4.56793e+01+4.13944e-02j)
 (5.24000e+07+0.00000e+00j)	 (5.59626e+01-5.76422e+00j)	 (5.00974e+01+2.16169e-02j)	 (4.34831e+01+4.67989e-01j)	 (5.00974e+01+2.16169e-02j)	 (7.26416e+00-2.92506e+00j)	 (1.22971e-01-3.66445e-01j)	 (-9.99671e-01+3.92783e-05j)	 (8.23381e-03+9.82281e-04j)	 (4.34848e+01+4.68656e-01j)
 (6.48000e+07+0.00000e+00j)	 (5.46746e+01-5.42365e+00j)	 (5.03257e+01+3.36117e-02j)	 (4.22777e+01+9.79109e+00j)	 (5.03257e+01+3.36117e-02j)	 (5.64750e+00-7.00043e+00j)	 (-2.88920e-01-7.71338e-03j)	 (-9.99616e-01+7.45310e-05j)	 (9.61168e-03+1.86399e-03j)	 (4.22831e+01+9.78672e+00j)
 (7.72000e+07+0.00000e+00j)	 (5.64533e+01-8.74819e+00j)	 (5.05702e+01+1.56038e-01j)	 (5.01942e+01+9.57337e+00j)	 (5.05702e+01+1.56038e-01j)	 (3.01669e+00-9.94268e+00j)	 (6.68754e-02+2.77731e-01j)	 (-9.99259e-01+2.80517e-04j)	 (1.85276e-02+7.01813e-03j)	 (5.01952e+01+9.56667e+00j)
 (8.96000e+07+0.00000e+00j)	 (4.60100e+01-1.59301e+01j)	 (5.07461e+01+3.08740e-01j)	 (5.17701e+01+9.63537e+00j)	 (5.07461e+01+3.08740e-01j)	 (-2.06751e+00-1.19347e+01j)	 (2.88445e-01-8.02095e-02j)	 (-9.99552e-01+1.84153e-04j)	 (1.12061e-02+4.60590e-03j)	 (5.17713e+01+9.63205e+00j)
 (1.02000e+08+0.00000e+00j)	 (4.10874e+01-7.49889e+00j)	 (5.07433e+01+4.76812e-01j)	 (5.44776e+01+1.43976e+01j)	 (5.07433e+01+4.76812e-01j)	 (-7.86810e+00-1.16592e+01j)	 (-7.72437e-02-3.17674e-01j)	 (-9.98832e-01+1.39293e-04j)	 (2.92180e-02+3.48640e-03j)	 (5.44808e+01+1.43805e+01j)
 (1.14400e+08+0.00000e+00j)	 (4.03258e+01-5.53500e+00j)	 (5.05560e+01+4.95064e-01j)	 (7.19637e+01+1.29337e+01j)	 (5.05560e+01+4.95064e-01j)	 (-1.38446e+01-8.12275e+00j)	 (-3.51696e-01+2.74246e-03j)	 (-9.98496e-01+2.56121e-04j)	 (3.76327e-02+6.41266e-03j)	 (7.19189e+01+1.28966e+01j)
 (1.26800e+08+0.00000e+00j)	 (3.61231e+01-4.44485e+00j)	 (5.02270e+01+2.40798e-01j)	 (6.90489e+01-3.64437e+00j)	 (5.02270e+01+2.40798e-01j)	 (-1.72697e+01-1.60875e+00j)	 (-1.36883e-01+2.63635e-01j)	 (-9.98441e-01+4.21971e-04j)	 (3.89957e-02+1.05657e-02j)	 (6.90154e+01-3.63636e+00j)
 (1.39200e+08+0.00000e+00j)	 (3.14715e+01+3.65392e+00j)	 (4.99354e+01-2.85333e-01j)	 (6.54520e+01-8.62790e+00j)	 (4.99354e+01-2.85333e-01j)	 (-1.72516e+01+6.42837e+00j)	 (3.52901e-02+1.42339e-01j)	 (-9.97724e-01+2.06032e-05j)	 (5.69690e-02+5.16255e-04j)	 (6.54208e+01-8.60559e+00j)
 (1.51600e+08+0.00000e+00j)	 (3.67034e+01+1.16320e+01j)	 (4.97930e+01-9.63002e-01j)	 (6.27615e+01-1.84205e+01j)	 (4.97930e+01-9.63002e-01j)	 (-1.32348e+01+1.48116e+01j)	 (-9.03644e-02+8.23885e-02j)	 (-9.97457e-01+2.41219e-04j)	 (6.36629e-02+6.04585e-03j)	 (6.27250e+01-1.83719e+01j)
